CÓDIGO,NOME,DEFINIÇÃO,UNIDADE,FONTE
SQ1,Quantidade de amostras em conformidade - Cloro Residual,"Quantidade total anual de amostras com Cloro Residual dentro do padrão de conformidade, coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).",Amostras/ano,Coleta e análise da água
SQ2,Quantidade mínima de amostras - Cloro Residual,"Quantidade mínima anual de amostras coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes), para aferição do teor de Cloro Residual.",Amostras/ano,Coleta e análise da água
SQ3,Quantidade de amostras fora do padrão - Cloro Residual,Quantidade de amostras com Cloro fora do padrão coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).,Amostras/ano,Coleta e análise da água
SQ4,Quantidade de amostras em conformidade - Turbidez,Quantidade de amostras com Turbidez dentro do padrão de conformidade coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).,Amostras/ano,Coleta e análise da água
SQ5,Quantidade mínima de amostras - Turbidez,"Quantidade mínima anual de amostras coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes), para aferição da Turbidez.",Amostras/ano,Coleta e análise da água
SQ6,Quantidade de amostras fora do padrão - Turbidez,Quantidade de amostras com Turbidez fora do padrão coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).,Amostras/ano,Coleta e análise da água
SQ7,Quantidade de amostras em conformidade - Coliformes Totais,Quantidade de amostras com Coliformes Totais dentro do padrão de conformidade coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).,Amostras/ano,Coleta e análise da água
SQ8,Quantidade mínima de amostras - Coliformes Totais,"Quantidade mínima anual de amostras coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes), para aferição do teor de Coliformes Totais.",Amostras/ano,Coleta e análise da água
SQ9,Quantidade de amostras fora do padrão – Coliformes Totais,Quantidade de amostras com Coliformes Totais fora do padrão coletadas na(s) saída(s) da(s) unidade(s) de tratamento e no sistema de distribuição de água (reservatórios e redes).,Amostras/ano,Coleta e análise da água
SC1,Número de reclamações dos usuários dos serviços de abastecimento de água,Registro de reclamações do serviço de abastecimento de água por mês,Reclamações/ mês,Gestor/ Prestador
SC2,Número de ligações ativas de água,Quantidade de ligações ativas de água,Ligações Ativas,Prestador do Serviço
SC3,Número de reclamações dos usuários dos serviços de esgotamento sanitário,Registro de reclamações do serviço de esgotamento sanitário por mês,Reclamações/ mês,Gestor/ Prestador
SC4,Número de ligações ativas de esgoto,Quantidade de ligações ativas de esgoto,Ligações Ativas,Prestador do Serviço
SC5,Número de reclamações dos usuários do serviço coleta de RS,Registro de reclamações do serviço de coleta de resíduos sólidos por mês,Reclamações/ mês,Gestor/ Prestador
SC6,Quantidade de Logradouros que recebem coleta de RS,Quantidades de logradouros que possuem coleta direta de resíduos sólidos por mês,Quantidade de logradouro,Gestor/ Prestador
SC7,Número de reclamações dos usuários do serviço de drenagem urbana,Registro de reclamações do serviço de drenagem urbana por mês,Reclamações/ mês,Gestor/ Prestador
SH1,Horas de paralização do serviço,Quantidade de horas por paralização do abastecimento de água,Horas,Prestador do serviço/ SNIS
SN2,Números de paralisações,Quantidade de paralisações do abastecimento de água,Paralizações,Prestador do serviço/ SNIS
SH2,Horas de intermitência do serviço,Quantidade de horas de intermitência do abastecimento de água,Horas,Prestador do serviço/ SNIS
SN3,Números de interrupções,Quantidade de interrupções do abastecimento de água,Interrupções,Prestador do serviço/ SNIS
SD1,Duração dos reparos,Quantidade de horas de cada reparo,Horas,Prestador do serviço/ SNIS
SN4,Números de extravasamentos de esgoto,Quantidade de extravasamentos de esgoto,Extravasamentos,Prestador do serviço/ SNIS
SX1,Extensão da rede,Comprimento em quilômetros da rede de esgotamento sanitário,Km,Prestador do serviço/ SNIS
SM1,Número de mananciais com áreas de proteção de aquíferos,Quantidade de mananciais com áreas de proteção de aquíferos,Mananciais protegidos,Prestador do serviço/ SNIS
SM2,Número de mananciais utilizados para abastecimento,Quantidade de mananciais utilizados para abastecimento,"Mananciais
Utilizados",Prestador do serviço/ SNIS
SN5,"Número ocorrências quanto á vandalismo, roubo/furto e depredações.","Quantidade de ocorrências registradas na delegacia quanto á vandalismo, roubo/furto e depredações.",Ocorrências,Prestador do serviço/ SNIS
SN6,Número de funcionários acidentados,Quantidade de registros de funcionários do serviço público de saneamento básico acidentados ao longo do ano,Funcionários Acidentados,Prestador do serviço/ SNIS
SN7,Número total de funcionários do serviço público de saneamento básico,Número total de funcionários do serviço público de saneamento básico municipal,Funcionários,Prestador do serviço/ SNIS
SN8,Número de logradouros com cadastro da rede de abastecimento atualizado,Logradouros com cadastro em arquivo físico ou digital da rede de abastecimento de água,Logradouros,Prestador do serviço/ SNIS
SN9,Número total de logradouros,Quantidade total de logradouros,Logradouros,Prestador do serviço/ SNIS
SN10,Número de logradouros com cadastro da rede de esgotamento atualizado,Logradouros com cadastro em arquivo físico ou digital da rede de esgotamento sanitário,Logradouros,Prestador do serviço/ SNIS
SN11,Número de logradouros com cadastro do sistema de drenagem,Logradouros com cadastro em arquivo físico ou digital da rede de drenagem,Logradouros,Prestador do serviço/ SNIS
SN12,Número de logradouros cadastrados na rota de coleta de resíduo sólido,Logradouros cadastrados em meio físico ou digital na coleta de resíduo solido,Logradouros,Prestador do serviço/ SNIS
SN13,Número de Funcionários Nível Superior relacionados a saneamento,-,Funcionários,Prestador do serviço/ SNIS
SN14,Número de Funcionários Nível Técnico relacionados a saneamento,-,Funcionários,Prestador do serviço/ SNIS
SN15,Número de funcionários que receberam alguma qualificação em saneamento e ou meio ambiente,-,Funcionários,Prestador do serviço/ SNIS
SE1,Quantidade de Economias Residenciais Ativas de Água,Quantidade de residências com ligação de água ativa,Quantidade de economias residenciais ativas,Prestador do serviço/ SNIS
SE2,Quantidade de Economias Ativas de Água,Quantidade de economias ativas de água que contribuíram para o faturamento no último mês do ano,Quantidade de economias ativas de água,Prestador do serviço/ SNIS
SE3,Quantidade de Economias Ativas de Água Atingidas por Paralisações,Quantidade anual de economias ativas atingidas por paralisações no sistema de distribuição de água,Quantidade de economias ativas atingidas por paralisações,Prestador do serviço/ SNIS
SE4,Quantidade de Economias Ativas de Água Atingidas por Intermitências,Quantidade anual de economias ativas atingidas por interrupções no sistema de distribuição de água,Quantidade de economias ativas atingidas por interrupções,Prestador do serviço/ SNIS
SV1,Valor da tarifa social,-,Reais,Prestador do serviço/ SNIS
SS1,Média de renda das famílias assistidas por tarifa social,-,Reais,Prestador do serviço/ SNIS
ST4,Total de contas de taxa mínima com pagamento atrasado,-,Contas em atraso,Prestador do serviço/ SNIS
ST5,Total de residências que pagam a taxa mínima,-,Residências,Prestador do serviço/ SNIS
